.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetOverCurrent,PEGRatio,PERatio,PercentChange,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
"Agilent Technologies, Inc. Comm",A,2073730,13.12,1.05,902000000.0,2.13,0.54,2.38,1.40,48.41,16610000000.0,1.0338287055142745,2.36,36.87,0.024399999999999998,0.014883905536812847,0.0663,0.1079,-0.0042,0.4154,3.84,24.23,21.69,3.86,2.38,1,46.59,5724488
"American Airlines Group, Inc.",AAL,6508310,7.36,0.86,7500000000.0,4.62,1.55,5.35,4.81,46.66,24460000000.0,1.1416263920991805,4.62,9.88,0.0208,0.021902512347004466,0.0189,0.1367,-0.061200000000000004,0.9131,6.33,10.29,8.89,0.60,3.57,0,41.82,8394814
Advance Auto Parts Inc Advance,AAP,1007420,38.78,0.15,1160000000.0,7.25,2.52,7.83,6.10,167.76,12080000000.0,1.0932696429665014,2.24,26.88,-0.0023,-0.006570542069720853,-0.022400000000000003,0.0278,-0.07780000000000001,0.23329999999999998,4.24,22.62,20.95,1.27,5.71,1,159.57,136848
Apple Inc.,AAPL,30119400,25.19,1.73,69750000000.0,8.95,1.62,10.13,8.33,122.68,709700000000.0,1.0318819188191881,1.63,16.24,0.0019,0.003555028884609568,0.1026,0.1839,-0.0073,0.5119,5.36,15.15,13.35,3.25,1.67,0,114.25,2447859
AbbVie Inc. Common Stock,ABBV,7091980,3.981,4.240,11110000000.0,5.480,1.380,6.430,3.630,61.606,98640000000.0,1.1454366382140513,0.770,16.720,-0.0020599999999999998,0.0016441959881619006,-0.0148,-0.02785,-0.109,0.13768,15.278,11.076,9.439,3.855,3.960,1,62.434,2738066
AmerisourceBergen Corporation C,ABC,2342640,9.75,1.60,2160000000.0,5.83,1.41,6.42,5.99,85.80,19810000000.0,1.0119139547710976,1.68,15.23,0.004,-0.0018718343977096596,0.06269999999999999,0.1039,-0.0351,0.33340000000000003,9.31,15.64,14.20,0.13,5.75,1,82.60,1944692
Abbott Laboratories Common Stoc,ABT,9179660,14.111,2.480,5000000000.0,2.450,0.600,2.750,0.937,40.975,64640000000.0,1.0857471264367815,1.590,46.857,0.00584,-0.0034364261168384758,0.07151,0.06775,-0.04117,0.19437000000000001,3.093,17.920,15.965,3.082,1.260,1,41.119,4010324
Accenture plc Class A Ordinary,ACN,2340160,11.95,2.06,5660000000.0,5.87,1.53,6.40,6.76,116.04,74670000000.0,1.089959033525625,2.05,17.75,-0.0006,-0.003249999999999975,0.0335,0.0294,-0.0461,0.2248,10.04,20.43,18.74,2.24,3.36,1,116.51,1951131
Adobe Systems Incorporated,ADBE,2515200,15.02,0.00,1820000000.0,3.82,0.91,4.80,2.32,110.77,58660000000.0,1.0565072871388392,0.98,51.18,0.0098,-0.0021262119408063107,0.0719,0.1219,-0.003,0.5117,7.83,31.08,24.74,9.92,2.13,0,105.83,1695276
"Analog Devices, Inc.",ADI,2660410,16.76,2.20,1250000000.0,3.39,0.76,3.76,2.76,74.41,25150000000.0,0.9952970297029704,2.37,29.57,0.0483,0.03802672147995878,0.0967,0.20199999999999999,-0.0004,0.6286999999999999,4.64,24.07,21.70,7.01,5.48,0,67.88,7032662
Archer-Daniels-Midland Company,ADM,3297560,29.47,2.92,2540000000.0,2.86,0.68,3.08,2.16,44.55,25930000000.0,1.0068415051311288,1.15,20.59,0.0169,0.0027441115938715566,-0.0017000000000000001,0.012199999999999999,-0.0712,0.4208,1.48,15.55,14.44,0.41,3.78,1,43.94,4060952
"Automatic Data Processing, Inc.",ADP,2085490,8.50,2.33,2730000000.0,3.66,0.70,4.04,3.72,101.17,44580000000.0,1.0112245929821013,2.36,26.68,-0.0012,-0.005530973451327359,-0.0182,0.061500000000000006,-0.0458,0.1953,11.70,27.14,24.58,3.70,3.36,0,93.57,718683
Alliance Data Systems Corporati,ADS,589371,28.79,0.92,1570000000.0,18.49,3.77,21.08,7.34,230.10,13300000000.0,1.0901660839160838,1.03,31.47,0.0069,-0.002572038885740313,0.0038,0.0554,-0.0443,0.2484,7.97,12.49,10.96,1.85,5.39,1,218.86,250912
