.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
"Agilent Technologies, Inc.",A,1984990,13.35,1.02,942000000.0,2.15,0.53,2.40,1.56,49.33,16660000000.0,0.07227511171556245,2.30,33.19,-0.0017485914124731883,0.048799999999999996,0.10619999999999999,-0.0019,0.386,3.86,24.07,21.56,3.91,2.38,1,46.77,1612698
"American Airlines Group, Inc.",AAL,6352700,7.46,0.86,7830000000.0,4.64,1.55,5.35,4.81,46.63,23330000000.0,0.17722342733188734,4.56,9.62,-0.002169197396963196,-0.0075,0.0925,-0.0861,0.8623999999999999,6.18,9.97,8.65,0.58,3.57,0,42.36,4489590
Advance Auto Parts Inc Advance,AAP,975877,39.58,0.15,1120000000.0,7.65,2.05,8.80,6.20,165.59,11590000000.0,0.12946994674106005,1.75,25.38,-0.007988840984022305,-0.0499,-0.0118,-0.1153,0.18309999999999998,3.99,20.57,17.88,1.21,5.71,1,159.21,1599603
Apple Inc.,AAPL,29132600,25.19,1.67,69750000000.0,8.93,1.62,10.14,8.33,126.74,716990000000.0,0.02951732220024894,1.65,16.41,-0.004541126492346059,0.0782,0.18100000000000002,-0.006,0.5274,5.42,15.30,13.48,3.28,1.67,0,115.71,21776585
AbbVie Inc.,ABBV,7269790,2.91,4.12,10950000000.0,5.49,1.38,6.44,3.63,61.39,98970000000.0,0.12657410397158553,0.79,17.10,-0.0003228931223764331,0.0115,-0.0021,-0.0885,0.1447,21.28,11.31,9.64,3.85,3.96,1,62.22,6536399
AmerisourceBergen Corporation,ABC,2255970,9.75,1.58,2160000000.0,5.83,1.41,6.42,5.99,87.57,20020000000.0,0.001309900665866115,1.69,15.39,-0.0010915838882217255,0.0524,0.1143,-0.0248,0.3478,9.39,15.81,14.36,0.13,5.75,1,82.71,1001677
Abbott Laboratories,ABT,9120180,13.94,2.32,4590000000.0,2.45,0.60,2.75,0.94,42.22,78930000000.0,0.0453744493392072,1.65,48.75,-0.0024229074889867697,0.08199999999999999,0.1104,-0.0024,0.2427,3.26,18.64,16.61,3.76,1.26,1,41.14,7608646
Accenture plc Class A Ordinary,ACN,2323220,11.95,1.96,5660000000.0,5.87,1.53,6.40,6.76,117.02,76850000000.0,0.06441868060091438,2.11,18.26,-0.003919007184846501,0.0548,0.056100000000000004,-0.0182,0.23260000000000003,10.25,21.03,19.29,2.28,3.36,1,116.88,1447663
Adobe Systems Incorporated,ADBE,2485960,15.02,0.00,1820000000.0,3.82,0.91,4.80,2.32,113.88,58950000000.0,0.04317091643524362,1.00,51.43,-0.004460153159976499,0.04769999999999999,0.11630000000000001,-0.0072,0.43450000000000005,7.91,31.23,24.86,10.03,2.13,0,106.88,1942492
"Analog Devices, Inc.",ADI,2555570,17.16,2.20,1370000000.0,3.72,0.91,3.90,2.93,76.07,25260000000.0,0.07241759588285746,3.27,27.86,-0.0078421762038966,0.0737,0.18899999999999997,-0.0144,0.5657,4.76,21.96,20.94,6.94,5.48,0,68.70,2841133
Archer-Daniels-Midland Company,ADM,3312320,29.97,2.83,2540000000.0,2.86,0.68,3.08,2.16,44.34,25850000000.0,-0.00022177866489259124,1.19,20.95,-0.005544466622310895,0.0207,0.029300000000000003,-0.0547,0.31,1.50,15.83,14.69,0.41,3.78,1,43.97,2371286
"Automatic Data Processing, Inc.",ADP,2023560,8.50,2.21,2730000000.0,3.66,0.70,4.04,3.72,100.60,46240000000.0,-0.016135379771743397,2.41,27.67,-9.838646202287027e-05,0.0239,0.0942,-0.0105,0.221,11.96,28.14,25.50,3.79,3.36,0,94.13,1774494
Alliance Data Systems Corporati,ADS,564171,28.79,0.85,1570000000.0,18.49,3.77,21.08,7.34,231.19,14100000000.0,0.02891675604323085,1.11,33.35,-0.0017325303192805563,0.058899999999999994,0.11460000000000001,-0.0012,0.3232,8.42,13.24,11.61,1.96,5.39,1,219.64,762306
Ameren Corporation,AEE,1280140,29.28,3.22,2300000000.0,2.76,0.61,2.99,2.68,52.60,13240000000.0,-0.01590530793415945,3.35,20.37,0.0012946180876640678,0.037599999999999995,0.08039999999999999,-0.0004,0.198,1.85,19.78,18.25,2.16,5.64,1,50.52,2108751
American Electric Power Company,AEP,2332780,35.38,3.51,5440000000.0,3.65,0.89,3.88,1.24,63.60,33020000000.000004,0.018785032570822535,9.89,54.07,0.0027268595667322426,0.0559,0.061200000000000004,-0.058499999999999996,0.16,1.87,18.40,17.31,1.98,2.17,1,63.28,4094073
Aetna Inc.,AET,3177730,50.84,1.55,6200000000.0,8.85,2.37,9.78,6.41,122.54,45360000000.0,0.07769983812533732,1.06,20.12,-0.0018499961458412484,0.0525,0.0768,-0.0552,0.23309999999999997,2.55,14.57,13.19,0.72,1.37,1,119.77,2364449
AFLAC Incorporated,AFL,2314110,50.47,2.40,4120000000.0,6.39,1.61,6.71,6.42,70.02,29100000000.0,0.0006971556051309502,1.63,11.17,-0.006692693809258299,0.0241,0.0105,-0.0374,0.2089,1.42,11.22,10.69,1.29,3.06,1,70.97,1571438
Allergan plc Ordinary Shares,AGN,4034920,221.28,1.14,6110000000.0,16.04,4.09,17.78,38.18,228.83,92030000000.0,0.09097552064303982,1.12,6.43,-0.0008931108675354071,0.0723,0.10220000000000001,-0.1797,0.3299,1.11,15.30,13.80,6.34,4.36,1,222.62,1842944
Apartment Investment and Manage,AIV,1082980,10.69,3.13,573940000.0,0.49,0.12,0.58,2.67,44.78,7200000000.0,0.027632724107919948,13.25,17.26,0.003916449086161844,0.0292,0.0473,-0.038,0.2669,4.30,94.06,79.47,7.37,4.37,1,44.01,487775
"Assurant, Inc.",AIZ,407147,73.26,2.15,1040000000.0,6.25,1.60,7.22,9.13,96.09,5490000000.0,-0.01102792391744234,0.59,10.82,-0.006980979360582729,0.0278,0.09759999999999999,-0.0029,0.389,1.35,15.80,13.68,0.73,5.16,1,89.98,267721
Arthur J. Gallagher & Co.,AJG,1059430,20.17,2.74,868800000.0,3.02,1.06,3.39,2.32,54.18,10160000000.0,0.048875509119886695,1.62,24.51,-0.0058438108730298755,0.0495,0.1118,-0.0058,0.43329999999999996,2.80,18.83,16.77,1.82,3.92,1,51.14,751284
"Akamai Technologies, Inc.",AKAM,1834600,18.64,0,788760000.0,2.79,0.67,3.17,1.79,67.14,10880000000.0,0.14513556618819767,1.57,35.12,-0.0031897926634769647,-0.0637,0.0195,-0.12240000000000001,0.3153,3.36,22.53,19.83,4.64,4.65,0,61.67,1363846
Albemarle Corporation,ALB,834431,29.33,1.38,972980000.0,3.52,0.95,4.07,1.91,93.27,10450000000.0,0.07834649929661297,4.92,48.65,-0.005194243047289104,-0.0036,0.0817,-0.030899999999999997,0.6586,3.15,26.40,22.83,2.95,2.82,1,85.91,699996
"Alaska Air Group, Inc.",ALK,1263330,23.77,1.24,1830000000.0,8.02,2.42,8.71,6.54,94.62,11960000000.0,0.1267076858900824,1.18,14.83,-0.007195745124621955,0.0252,0.2181,-0.019,0.7797,4.03,12.10,11.14,1.99,5.94,1,79.64,653791
Allstate Corporation (The),ALL,2025620,51.44,1.68,3460000000.0,6.22,1.22,6.88,4.67,76.81,29540000000.0,0.03766525318034408,0.93,17.33,0.0,0.053399999999999996,0.13,0.0,0.2752,1.56,13.01,11.76,0.80,2.65,1,71.60,1973346
Allegion plc Ordinary Shares,ALLE,774061,1.19,0.87,478900000.0,3.69,1.00,4.09,2.36,68.26,7060000000.0,0.07099391480730222,1.54,31.33,-0.005409060175794567,0.0834,0.0913,-0.013999999999999999,0.203,62.20,20.04,18.08,3.15,3.35,1,67.76,505195
"Alexion Pharmaceuticals, Inc.",ALXN,2795350,38.81,0,1170000000.0,5.25,1.29,6.70,1.76,131.83,29550000000.0,0.24601349279362172,1.34,74.74,0.0071297148114075615,-0.0022,0.037200000000000004,-0.188,0.20550000000000002,3.36,25.06,19.63,9.50,1.82,0,126.83,1657255
"Applied Materials, Inc.",AMAT,9897650,7.13,1.10,2990000000.0,2.64,0.66,2.82,1.94,34.64,39130000000.0,0.12057522123893816,0.64,18.67,-0.009679203539822878,0.0479,0.1642,-0.0141,0.935,5.07,13.75,12.87,3.29,1.32,0,31.18,7505777
"AMETEK, Inc.",AME,2042770,14.15,0.66,965850000.0,2.44,0.62,2.67,2.19,52.05,12580000000.0,0.0840521196549826,2.09,24.95,-0.006056157093044745,0.0496,0.1193,-0.015300000000000001,0.2622,3.85,22.39,20.46,3.27,3.91,1,48.81,997697
"Affiliated Managers Group, Inc.",AMG,612848,65.81,0.48,834900000.0,14.70,3.34,16.37,8.57,154.73,9240000000.0,0.12253338059789676,0.82,19.61,-0.00756233014297536,0.086,0.1424,-0.06570000000000001,0.2878,2.57,11.43,10.26,4.24,2.03,1,147.09,473458
Amgen Inc.,AMGN,3557520,40.47,2.64,12000000000.0,12.34,3.11,12.83,10.24,162.13,128560000000.0,0.06074363542325156,2.08,17.05,-0.004137693236020867,0.0767,0.0962,-0.0129,0.3062,4.30,14.15,13.61,5.57,1.58,0,159.24,2677307
"Ameriprise Financial, Inc.",AMP,1113570,40.65,2.31,2760000000.0,10.57,2.59,11.94,7.81,119.73,20100000000.0,0.06376456161863908,0.83,16.62,-0.012952176578786001,0.0843,0.2091,-0.011699999999999999,0.5468999999999999,3.21,12.28,10.87,1.72,1.72,1,107.38,976645
American Tower Corporation (REI,AMT,2247770,15.76,2.06,3310000000.0,2.09,0.62,2.73,2.00,105.66,48060000000.0,0.15686274509803932,1.62,56.50,-0.0011586452762923916,0.0684,0.0346,-0.0454,0.25420000000000004,7.12,54.01,41.35,8.64,3.14,1,109.11,2589383
"Amazon.com, Inc.",AMZN,3623230,40.43,0,11670000000.0,7.26,1.88,12.84,4.90,824.83,403320000000.0,0.09005034088642194,3.11,172.50,-0.008800854269587766,0.024700000000000003,0.0673,-0.0181,0.5694,21.08,116.42,65.83,2.99,1.61,0,791.97,3687963
"AutoNation, Inc.",AN,975258,22.95,0,970700000.0,4.03,1.03,4.47,4.15,50.05,4730000000.0,0.09465550547327739,1.06,11.29,-0.0012878300064391723,-0.0643,-0.0226,-0.1352,0.19219999999999998,2.03,11.62,10.48,0.22,7.76,1,47.91,835940
"Anthem, Inc.",ANTM,1646540,95.17,1.59,5780000000.0,11.58,3.37,12.81,9.21,155.33,43310000000.0,0.06875305026842371,1.19,17.79,-0.00115910200097602,0.0547,0.192,-0.0124,0.4265,1.72,14.15,12.79,0.51,4.29,1,137.44,956006
Aon plc Class A Ordinary Shares,AON,1039440,20.61,1.13,2390000000.0,6.42,1.39,7.89,5.16,114.03,30960000000.0,0.057147775195800055,2.29,22.59,-0.008864790429468972,0.0222,0.0417,-0.0105,0.2236,5.64,18.16,14.77,2.66,1.85,1,111.89,712667
"Air Products and Chemicals, Inc",APD,1401400,32.91,2.70,3130000000.0,6.16,1.65,6.83,2.60,142.79,30650000000.0,0.07509261897976627,-76.23,54.24,-0.0020661157024794985,-0.013500000000000002,-0.0,-0.0637,0.1543,4.26,22.87,20.62,3.20,1.73,1,140.87,890325
Amphenol Corporation,APH,1204380,11.92,0.91,1460000000.0,2.91,0.71,3.14,2.61,68.17,21590000000.0,-0.0034300414463340756,3.41,26.89,-0.006002572531084827,0.0294,0.0658,-0.0009,0.32689999999999997,5.87,24.12,22.35,3.42,3.69,1,65.84,1313385
"Activision Blizzard, Inc",ATVI,8419560,12.26,0.66,2290000000.0,1.95,0.32,2.36,1.28,41.14,33890000000.0,0.12311446317657504,1.43,35.59,-0.0031055900621118626,0.1073,0.11410000000000001,-0.043899999999999995,0.49979999999999997,3.68,23.36,19.30,5.08,2.66,0,40.89,5992237
"AvalonBay Communities, Inc.",AVB,750934,74.06,3.10,1300000000.0,4.55,1.14,4.72,7.52,176.81,25140000000.0,0.03496580027359775,8.51,24.34,0.001367989056087593,0.0353,0.056900000000000006,-0.048,0.1563,2.47,40.23,38.78,12.23,6.66,1,173.20,515939
