.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
"Agilent Technologies, Inc.",A,1950140,13.35,1.03,942000000.0,2.15,0.53,2.40,1.56,49.81,16739999999.999998,0.0741533670688983,2.29,33.34,0.0,0.0435,0.1081,-0.0054,0.38170000000000004,3.85,24.18,21.66,3.90,2.38,1,46.91,1824423
"American Airlines Group, Inc.",AAL,6386020,7.46,0.86,7830000000.0,4.62,1.55,5.45,4.81,46.45,23600000000.0,0.18700787401574814,4.54,9.73,0.00284339457567806,0.008100000000000001,0.0944,-0.0754,0.8841,6.13,10.13,8.59,0.57,3.57,0,42.78,7259147
Advance Auto Parts Inc Advance,AAP,1023690,39.58,0.15,1120000000.0,7.60,2.05,8.83,6.20,163.41,11450000000.0,0.13205388917132677,1.76,25.06,-0.00038129130655817356,-0.0493,-0.022000000000000002,-0.1264,0.16820000000000002,3.98,20.44,17.59,1.21,5.71,1,158.84,1252168
Apple Inc.,AAPL,28964000,25.19,1.63,69750000000.0,8.94,1.62,10.15,8.33,129.61,733360000000.0,0.025331030512377506,1.68,16.78,-0.0012953367875647714,0.0785,0.1967,-0.0036,0.5623,5.52,15.64,13.77,3.34,1.67,0,116.80,21571121
AbbVie Inc.,ABBV,7186680,2.91,4.07,10950000000.0,5.49,1.38,6.44,3.63,61.36,100960000000.0,0.1032411067193677,0.80,17.45,-0.002213438735177875,0.0323,0.020499999999999997,-0.0702,0.1641,21.73,11.54,9.84,3.93,3.96,1,62.07,6125782
AmerisourceBergen Corporation,ABC,2180180,9.75,1.58,2160000000.0,5.87,1.41,6.47,5.99,88.72,20040000000.0,0.0020665651511855287,1.68,15.41,0.003045464433325984,0.0395,0.11349999999999999,-0.024,0.3488,9.43,15.71,14.26,0.13,5.75,1,82.83,1405380
Abbott Laboratories,ABT,9274110,13.94,2.33,4590000000.0,2.45,0.60,2.75,0.94,42.88,78190000000.0,0.04552418472313424,1.66,48.29,-0.005909389363099038,0.0553,0.09960000000000001,-0.0129,0.231,3.28,18.47,16.45,3.79,1.26,1,41.15,6790781
Accenture plc Class A Ordinary,ACN,2331310,11.95,1.98,5660000000.0,5.89,1.53,6.41,6.76,118.17,76980000000.0,0.04696421391234429,2.12,18.30,-0.0008041817450743505,0.0463,0.0545,-0.0165,0.2198,10.41,20.99,19.29,2.32,3.36,1,117.25,2122955
Adobe Systems Incorporated,ADBE,2399190,15.02,0.00,1820000000.0,3.82,0.91,4.80,2.32,115.49,59310000000.0,0.03869891576313589,1.01,51.74,-0.0005838198498749891,0.0394,0.11599999999999999,-0.0044,0.44329999999999997,7.98,31.42,25.01,10.12,2.13,0,107.56,1361060
"Analog Devices, Inc.",ADI,2442800,17.16,2.15,1370000000.0,3.72,0.91,3.90,2.93,77.66,25720000000.0,0.04626419605499099,3.36,28.37,-0.0003586371787208664,0.071,0.19899999999999998,-0.010700000000000001,0.5943999999999999,4.87,22.36,21.33,7.11,5.48,0,69.38,2357205
