.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,TwoHundreddayMovingAverage,Volume
"Agilent Technologies, Inc. Comm",A,1905720,13.35,1.00,942000000.0,2.15,0.53,2.42,1.56,52.45,17030000000.000002,0.07302731411229146,2.37,33.89,-0.0003793626707131459,0.0073,0.098,-0.0363,0.3375,3.95,24.57,21.83,4.01,2.34,48.12,1520703
"American Airlines Group, Inc.",AAL,6974290,7.46,0.96,7830000000.0,4.63,1.55,5.48,4.81,43.36,22150000000.0,0.24598298676748565,4.13,9.13,0.009688090737240085,0.0132,-0.0006,-0.1325,0.7678,5.67,9.49,8.02,0.53,4.49,43.96,10269604
Advance Auto Parts Inc Advance,AAP,1121700,39.66,0.16,1120000000.0,7.58,2.05,8.78,6.20,151.57,10550000000.0,0.23662839540744884,1.50,23.14,-0.002450294035284184,-0.0535,-0.0907,-0.19329999999999997,0.0788,3.60,18.95,16.34,1.10,3.53,157.78,763668
Apple Inc.,AAPL,26853000,25.19,1.59,69750000000.0,8.95,1.62,10.21,8.33,140.54,743070000000.0,0.03101208353705398,1.73,17.00,-0.0018858699448207616,0.0078000000000000005,0.1495,-0.0263,0.583,5.68,15.82,13.83,3.44,2.33,123.21,30379376
AbbVie Inc. Common Stock,ABBV,6542600,2.91,3.93,10950000000.0,5.50,1.38,6.45,3.63,64.54,102300000000.0,0.10368412871133215,0.82,17.68,0.0015544846883259744,-0.005600000000000001,0.032400000000000005,-0.057800000000000004,0.1656,22.10,11.67,9.95,4.00,4.90,62.17,5404537
AmerisourceBergen Corporation C,ABC,1955000,9.75,1.67,2160000000.0,5.88,1.41,6.42,5.99,88.91,19090000000.0,0.04997738579828126,1.60,14.68,-0.0018091361374943382,-0.011699999999999999,0.0575,-0.0702,0.285,9.07,14.94,13.56,0.13,10.38,83.10,1449626
Abbott Laboratories Common Stoc,ABT,7699250,13.94,2.39,4590000000.0,2.45,0.60,2.75,0.94,44.86,75310000000.0,0.10431571659358418,1.59,46.51,-0.0025386568197554027,-0.0286,0.0482,-0.0493,0.1855,3.11,17.79,15.85,3.59,1.65,41.57,4871886
Accenture plc Class A Ordinary,ACN,2460190,12.84,2.06,5720000000.0,5.87,1.44,6.41,6.00,121.87,71980000000.0,0.12046643230729659,2.12,19.34,-0.003858355483151721,-0.0475,-0.0239,-0.08259999999999999,0.0683,9.08,19.78,18.11,2.14,4.22,118.92,2295270
Adobe Systems Incorporated,ADBE,2387610,15.33,0.00,1980000000.0,3.95,0.97,4.99,2.62,124.40,64290000000.00001,0.09964658881376764,2.05,49.62,-0.001920712968653926,0.0446,0.1561,-0.0105,0.43829999999999997,8.49,32.90,26.04,10.47,2.25,112.40,2331569
"Analog Devices, Inc.",ADI,3033560,17.16,2.25,1370000000.0,3.99,1.04,4.63,2.93,82.08,24140000000.0,0.1501323585024581,1.95,26.63,-0.004916172948443265,-0.0487,0.0664,-0.0731,0.4966,4.62,19.57,16.86,6.75,2.64,73.22,6040225
