.Name,.Symbol,AverageDailyVolume,BookValue,DaysRange,DaysVolume,DividendYield,EBITDA,EPS,EPSYearGrowthEstimate,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromTwoHundreddayMovingAverage,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,Sector-Consumer Discretionary,Sector-Consumer Staples,Sector-Energy,Sector-Financials,Sector-Health Care,Sector-Industrials,Sector-Information Technology,Sector-Materials,Sector-Real Estate,Sector-Telecommunication Services,Sector-Utilities,ShortRatio,TwoHundreddayMovingAverage
"Agilent Technologies, Inc. Comm",A,1851310,13.35,0.017209128320239464,1241164,1.01,942000000,1.56,0.13023255813953494,17090000000,0.062289562289562284,2.33,34.02,-0.008230452674897082,0.0978,4.01,24.67,21.82,4.06,0,0,0,0,1,0,0,0,0,0,0,2.34,48.30
"American Airlines Group, Inc.",AAL,7066460,7.46,0.02554827040470275,5809167,0.92,7830000000,4.81,0.1900647948164147,22090000000,0.19217725525661322,4.22,9.11,-0.004521817770743786,-0.0088,5.93,9.30,7.95,0.55,0,0,0,0,0,1,0,0,0,0,0,4.49,44.20
Advance Auto Parts Inc Advance,AAP,1094010,39.66,0.009017324623686323,646351,0.17,1120000000,6.20,0.16005291005291,10360000000,0.24126668560068154,1.50,22.73,-0.0036211303606928924,-0.1056,3.55,18.64,16.07,1.08,1,0,0,0,0,0,0,0,0,0,0,3.53,157.54
Apple Inc.,AAPL,26178300,25.19,0.0065571458788689155,14697544,1.62,69750000000,8.33,0.14413407821229063,740810000000,0.04075301417189592,1.70,16.95,-0.002961291687231249,0.1376,5.63,15.78,13.79,3.41,0,0,0,0,0,0,1,0,0,0,0,2.33,124.12
AbbVie Inc. Common Stock,ABBV,6386020,2.91,0.014927693982273376,4755959,3.99,10950000000,3.63,0.17454545454545456,101450000000,0.10402736743896757,0.80,17.53,-0.004353910744829714,0.0239,22.09,11.57,9.85,4.00,0,0,0,0,1,0,0,0,0,0,0,4.90,62.16
AmerisourceBergen Corporation C,ABC,1916550,9.75,0.02666204986149587,4384149,1.68,2160000000,5.99,0.10102739726027399,17940000000,0.07006001846722065,1.59,13.79,-0.040050784856879074,-0.0079,8.88,14.14,12.84,0.13,0,0,0,0,1,0,0,0,0,0,0,10.38,83.22
Abbott Laboratories Common Stoc,ABT,7711820,13.94,0.01454629415839304,10131161,2.48,4590000000,0.94,0.12244897959183665,75050000000,0.10113137843454156,1.55,46.35,-0.005079658277533983,0.0438,3.11,17.73,15.79,3.59,0,0,0,0,1,0,0,0,0,0,0,1.65,41.61
Accenture plc Class A Ordinary,ACN,2427100,12.84,0.00838230210853784,1978691,2.11,5720000000,6.00,0.09199318568994896,72080000000,0.12927756653992395,2.08,19.36,-0.0019011406844106071,-0.0223,9.01,19.80,18.13,2.13,0,0,0,0,0,0,1,0,0,0,0,4.22,118.90
Adobe Systems Incorporated,ADBE,2377540,15.33,0.005769674590353104,1499916,0.00,1980000000,2.62,0.26075949367088613,64220000000,0.10662358642972514,2.03,49.56,-0.0019232248634510896,0.1483,8.48,32.86,26.07,10.45,0,0,0,0,0,0,1,0,0,0,0,2.25,113.04
"Analog Devices, Inc.",ADI,3079440,17.16,0.022385128943579108,3342580,2.35,1370000000,2.93,0.15749999999999997,23940000000,0.19439717240476484,1.86,26.40,-0.007330802461055108,0.0507,4.45,19.35,16.76,6.50,0,0,0,0,0,0,1,0,0,0,0,2.64,73.68
Archer-Daniels-Midland Company,ADM,3024190,29.97,0.028648164726947204,3758397,2.89,2540000000,2.16,0.08450704225352124,25930000000,-0.010071620411817417,1.17,21.02,0.00044762757385852225,0.0194,1.49,15.99,14.74,0.41,0,1,0,0,0,0,0,0,0,0,0,2.98,44.55
"Automatic Data Processing, Inc.",ADP,1782480,8.50,0.02346357745925781,1570970,2.25,2730000000,3.72,0.10655737704918034,45760000000,-0.005792263891616023,2.40,27.39,-0.0028470449636757156,0.0417,11.98,27.85,25.17,3.79,0,0,0,0,0,0,1,0,0,0,0,3.53,97.85
Alliance Data Systems Corporati,ADS,598179,28.89,0.013710116976227336,497338,0.89,1460000000,7.34,0.1466450216450217,13310000000,0.058194624963313846,1.03,32.43,-0.0023059829776528318,0.0408,8.26,12.88,11.24,1.87,0,0,0,0,0,0,1,0,0,0,0,6.84,228.67
Ameren Corporation Common Stock,AEE,1475050,29.28,0.008479162908172449,1140131,3.20,2300000000,2.68,0.08664259927797824,13430000000,-0.016777918094894484,3.39,20.65,0.0007216308858017939,0.0682,1.89,19.98,18.39,2.29,0,0,0,0,0,0,0,0,0,0,1,4.71,51.81
American Electric Power Company,AEP,2309450,35.38,0.0069382934750516516,2427455,3.49,5290000000,1.24,0.0657534246575342,33430000000,0.016386182462356125,7.74,54.69,0.0004428697962799433,0.0695,1.91,18.62,17.48,2.03,0,0,0,0,0,0,0,0,0,0,1,2.21,63.56
Aetna Inc. Common Stock,AET,2937220,50.84,0.023509396025056115,1819564,1.55,6200000000,6.41,0.10360360360360366,45210000000,0.07308019488051953,1.09,20.05,0.012296032789420819,0.0441,2.54,14.48,13.12,0.72,0,0,0,0,1,0,0,0,0,0,0,4.42,123.11
AFLAC Incorporated Common Stock,AFL,2207480,50.47,0.008975928192574607,2689896,2.36,4780000000,6.42,0.04828660436137078,29660000000,-0.012375900992792066,1.66,11.51,0.0013599891200870573,0.0429,1.46,11.51,10.98,1.29,0,0,0,1,0,0,0,0,0,0,0,3.46,70.84
Allergan plc Ordinary Shares,AGN,3051060,212.79,0.014441197645364827,2566159,1.17,6100000000,38.18,0.11596009975062338,78570000000,0.1378054461525431,1.07,6.14,-0.004785499512980129,0.058899999999999994,1.11,14.62,13.09,5.43,0,0,0,0,1,0,0,0,0,0,0,2.69,221.34
Apartment Investment and Manage,AIV,1073180,10.64,0.008073559093967245,1543465,3.27,570960000,2.67,0.1132075471698113,7020000000,0.05920610002242643,11.69,16.75,-0.0011213276519399518,0.0197,4.19,84.38,75.80,7.18,0,0,0,0,0,0,0,0,1,0,0,3.42,43.86
"Assurant, Inc.",AIZ,383369,73.26,0.012417745701549583,349740,2.29,1040000000,9.13,0.15458937198067635,5210000000,0.04277223519422635,0.70,10.25,-0.006474209297389066,0.0152,1.29,15.07,13.05,0.70,0,0,0,1,0,0,0,0,0,0,0,4.78,92.20
Arthur J. Gallagher & Co. Commo,AJG,882868,20.17,0.00995024875621882,774301,2.81,868800000,2.32,0.11881188118811892,10010000000,0.04530916844349675,1.62,24.16,-0.0024875621890547706,0.057999999999999996,2.79,18.50,16.53,1.82,0,0,0,1,0,0,0,0,0,0,0,5.02,52.97
"Akamai Technologies, Inc.",AKAM,2097990,18.61,0.0098605916354981,1004756,0,707980000,1.79,0.1433823529411764,10210000000,0.22662359741584504,1.58,32.93,-0.000850051003060126,-0.0819,3.16,21.67,19.02,4.35,0,0,0,0,0,0,1,0,0,0,0,4.17,64.21
Albemarle Corporation Common St,ALB,1008220,33.73,0.017776928223262923,890751,1.24,702010000,5.68,0.1578947368421053,11910000000,0.0721590366051803,2.73,18.61,-0.006499092038612209,0.14880000000000002,3.10,25.30,21.85,4.40,0,0,0,0,0,0,0,1,0,0,0,3.39,92.07
"Alaska Air Group, Inc. Common S",ALK,1325790,23.77,0.021976757565297395,1106255,1.39,1820000000,6.54,0.08301886792452828,10680000000,0.2736163847658497,1.17,13.23,0.0006903693476010275,-0.0014000000000000002,3.66,10.95,10.05,1.81,0,0,0,0,0,1,0,0,0,0,0,7.08,86.65
Allstate Corporation (The) Comm,ALL,1781920,51.44,0.012147239263803618,2486170,1.69,3460000000,4.67,0.10593900481540919,29320000000,0.06490797546012272,0.87,17.20,-0.008711656441717675,0.0711,1.58,12.89,11.66,0.81,0,0,0,1,0,0,0,0,0,0,0,2.08,74.98
Allegion plc Ordinary Shares,ALLE,732597,1.19,0.006952643316279695,418377,0.85,478900000,2.36,0.11111111111111094,7250000000,0.06113078840351571,1.57,32.18,-0.0032795487340941953,0.1023,64.11,20.58,18.52,3.25,0,0,0,0,0,1,0,0,0,0,0,3.09,68.89
"Alexion Pharmaceuticals, Inc.",ALXN,1929700,38.81,0.01338045947992934,1007797,0,1170000000,1.76,0.2791586998087954,26550000000,0.36076748295884875,1.20,67.17,-0.006395691323739849,-0.054000000000000006,3.06,22.60,17.67,8.65,0,0,0,0,1,0,0,0,0,0,0,1.71,124.97
"Applied Materials, Inc.",AMAT,9072540,7.12,0.01341399263545497,6047326,1.07,2990000000,1.94,0.0714285714285714,41090000000,0.07180431351920036,0.65,19.57,-0.00604944765912685,0.1334,5.34,14.30,13.35,3.47,0,0,0,0,0,0,1,0,0,0,0,1.37,33.57
"AMETEK, Inc.",AME,1678190,14.20,0.01037613488975361,1211643,0.68,1010000000,2.19,0.09426229508196715,12390000000,0.10116731517509736,2.04,24.65,-0.0035204743375949477,0.0721,3.80,22.12,20.22,3.23,0,0,0,0,0,1,0,0,0,0,0,3.04,50.35
"Affiliated Managers Group, Inc.",AMG,491621,63.84,0.018787361229718268,324810,0.50,835000000,8.57,0.11621621621621614,9170000000,0.19641332194705363,0.78,18.89,-0.009393680614859012,0.061200000000000004,2.57,10.93,9.79,4.24,0,0,0,1,0,0,0,0,0,0,0,2.48,152.46
Amgen Inc.,AMGN,3811710,40.47,0.010178274011473724,2532118,2.85,11940000000,10.24,0.0341186027619822,118750000000,0.14607365369193737,2.02,15.75,-0.001110357164888054,0.0165,4.01,13.09,12.65,5.19,0,0,0,0,1,0,0,0,0,0,0,2.93,158.63
"Ameriprise Financial, Inc. Comm",AMP,1107530,40.66,0.011037181996086191,1222435,2.38,2770000000,7.81,0.13027179006560452,19510000000,0.10450097847358109,0.80,16.21,-0.009628180039139012,0.0941,3.14,11.87,10.50,1.68,0,0,0,1,0,0,0,0,0,0,0,2.26,115.72
American Tower Corporation (REI,AMT,2130360,15.84,0.010221327967806924,2440160,2.02,3460000000,1.98,0.21505376344086025,53340000000,0.07444668008048283,1.74,63.06,-0.0016096579476861939,0.131,7.85,44.75,36.40,9.17,0,0,0,0,0,0,0,0,1,0,0,3.46,110.40
"Amazon.com, Inc.",AMZN,3293760,40.43,0.009789465515138793,2999238,0,11670000000,4.90,0.718232044198895,431260000000,0.07511169746892987,4.22,184.44,-0.00110865974123886,0.10769999999999999,22.31,124.83,72.65,3.17,1,0,0,0,0,0,0,0,0,0,0,2.09,815.94
"AutoNation, Inc. Common Stock",AN,1148700,22.95,0.03942474584676428,2941185,0,970700000,4.15,0.10972568578553621,4190000000,0.24522687825440115,0.90,10.02,-0.006198859409868529,-0.1073,1.76,10.36,9.34,0.19,1,0,0,0,0,0,0,0,0,0,0,6.75,46.55
