.Name,.Symbol,AverageDailyVolume,BookValue,DaysRange,DaysVolume,DividendYield,EBITDA,EPS,EPSYearGrowthEstimate,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromTwoHundreddayMovingAverage,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,Sector-Consumer Discretionary,Sector-Consumer Staples,Sector-Financials,Sector-Health Care,Sector-Industrials,Sector-Information Technology,Sector-Materials,Sector-Real Estate,Sector-Telecommunication Services,Sector-Utilities,ShortRatio
"Agilent Technologies, Inc. Comm",A,1866460,13.35,0.011638821100056401,2257682,0.99,942000000,1.56,0.5641025641025641,17550000000,0.07002064952130649,2.36,34.92,0.01238971278393075,0.1244,3.99,25.20,22.31,4.05,0,0,0,1,0,0,0,0,0,0,2.34
"American Airlines Group, Inc.",AAL,7087120,7.46,0.021483942414174947,6335303,0.94,7830000000,4.81,0.14760914760914767,23410000000,0.2121816168327797,3.72,9.65,0.007751937984496138,0.048,6.05,9.86,8.41,0.57,0,0,0,0,1,0,0,0,0,0,4.49
Advance Auto Parts Inc Advance,AAP,1111700,39.66,0.016548624353037365,905172,0.16,1120000000,6.20,0.411290322580645,10820000000,0.18312448923998903,1.58,23.73,0.007082538817760664,-0.0663,3.70,19.51,16.81,1.13,1,0,0,0,0,0,0,0,0,0,3.53
Apple Inc.,AAPL,25758600,25.19,0.00541224432417222,17116550,1.59,69750000000,8.33,0.2340936374549818,753610000000,0.046601532297743775,1.72,17.24,0.008786110915864231,0.15289999999999998,5.65,16.03,13.97,3.42,0,0,0,0,0,1,0,0,0,0,2.33
AbbVie Inc.,ABBV,6301080,2.91,0.014102162331557372,6676360,3.94,10950000000,3.63,0.7741046831955924,103060000000,0.11595111250391721,0.86,17.81,0.009088060169226031,0.0397,21.92,11.76,10.04,3.97,0,0,0,1,0,0,0,0,0,0,4.90
AmerisourceBergen Corporation C,ABC,1879380,9.75,0.01599803101156777,2300122,1.77,2160000000,5.99,0.06844741235392315,17590000000,0.12687669209943375,1.56,13.52,0.009475756829928628,-0.0275,8.33,13.86,12.65,0.12,0,0,0,1,0,0,0,0,0,0,10.38
Abbott Laboratories Common Stoc,ABT,7804350,13.94,0.009648518263266589,6726712,2.41,4600000000,0.96,1.875,76260000000,0.10452561451872255,1.57,45.92,0.012405237767057153,0.059699999999999996,3.12,17.87,15.99,3.37,0,0,0,1,0,0,0,0,0,0,1.65
Accenture plc Class A Ordinary,ACN,2447980,12.84,0.011742011238782234,2106761,2.03,5720000000,6.00,0.06833333333333336,74010000000,0.0960328776314685,2.16,19.88,0.005954877128239389,0.0045000000000000005,9.28,20.37,18.62,2.19,0,0,0,0,0,1,0,0,0,0,4.22
Adobe Systems Incorporated,ADBE,2334170,15.33,0.007679440389294551,1845569,0.00,1980000000,2.62,0.9007633587786261,65739999999,0.09374999999999978,2.07,50.74,0.010796836982968294,0.1711,8.58,33.64,26.68,10.57,0,0,0,0,0,1,0,0,0,0,2.25
"Analog Devices, Inc.",ADI,3123700,17.16,0.013912147365709112,2993599,2.29,1370000000,2.93,0.5767918088737201,24500000000,0.1753188200437974,1.91,27.02,0.023702176993430468,0.073,4.52,19.81,17.15,6.60,0,0,0,0,0,1,0,0,0,0,2.64
