.Name,.Symbol,AverageDailyVolume,BookValue,DaysRange,DaysVolume,DividendYield,EBITDA,EPS,EPSYearGrowthEstimate,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromTwoHundreddayMovingAverage,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,Sector-Consumer Discretionary,Sector-Consumer Staples,Sector-Financials,Sector-Health Care,Sector-Industrials,Sector-Information Technology,Sector-Materials,Sector-Real Estate,Sector-Telecommunication Services,Sector-Utilities,ShortRatio
"Agilent Technologies, Inc. Comm",A,-0.3135428662066326,-0.4991450489884946,-0.4871557024172811,-0.24012131501593104,-0.6801218624686006,-0.44664543868071094,-0.6332332252879735,-0.020110775179616572,-0.3612654176709329,0.004444066208871727,0.035582504666316996,0.13612167719127816,0.03789370601574136,1,-0.17121122548604314,0.21788365611083052,0.27084793367827315,0.30770583519496164,-0.4673230195461161,-0.28085655969672746,-0.41384866585751595,2.6176042198643916,-0.39808283730297966,-0.3980828373029799,-0.2339366755325129,-0.27095704736911347,-0.0975900072948534,-0.239492397538633,-0.6822118033198483
"American Airlines Group, Inc.",AAL,0.49859919517730916,-0.705662426479873,0.7915200019189133,0.2280143704617391,-0.7171952541284132,0.612907657917889,0.13914937826134724,-0.3456066119516618,-0.2884838369380782,1.0824757254976485,0.06238873840524159,-0.5200264741473184,-0.3528339241164954,1,-0.046432981270486756,-0.8060887485024179,-0.9537780713669076,-1.0029212203270224,-0.4673230195461161,-0.28085655969672746,-0.41384866585751595,-0.38202872398020854,2.5120399733256993,-0.3980828373029799,-0.2339366755325129,-0.27095704736911347,-0.0975900072948534,-0.239492397538633,0.23372722272859828
Advance Auto Parts Inc Advance,AAP,-0.43095567268132046,0.4233459869704466,0.1505252293203953,-0.39539768718622437,-1.2955401640214905,-0.41926442079532317,0.46949147639474925,-0.1395358283820486,-0.4448524549289725,0.8621304080351543,0.02020834119840437,-0.154432252902861,-0.40923009713958636,-1,-0.18877709481735933,-0.16193400896409654,-0.21371631292233803,-0.7920157171395766,2.1398475105532686,-0.28085655969672746,-0.41384866585751595,-0.38202872398020854,-0.39808283730297966,-0.3980828373029799,-0.2339366755325129,-0.27095704736911347,-0.0975900072948534,-0.239492397538633,-0.17525020285582452
Apple Inc.,AAPL,3.403192533239746,-0.08400655162042672,-1.2958580221225138,1.4657670832933325,-0.23524116255084876,10.137810059396593,0.9756991519516888,-0.27801768911302627,8.780647605234357,-0.17314722538863656,0.022967806436234847,-0.3229483392577282,-0.26570594656363433,1,-0.07066176655506078,-0.39423022591677614,-0.4639276693488352,0.07043714410908525,-0.4673230195461161,-0.28085655969672746,-0.41384866585751595,-0.38202872398020854,-0.39808283730297966,2.5120399733257006,-0.2339366755325129,-0.27095704736911347,-0.0975900072948534,-0.239492397538633,-0.6864719848363526
AbbVie Inc.,ABBV,0.3763203748882588,-0.8651962240326355,-0.16721910806644746,0.2671697879176424,1.507208245460345,1.092844600628056,-0.14128492087348302,0.14400902304813876,0.7007743380400573,0.3527428584684926,0.006016805689561947,-0.30814800501700795,-0.24026704077617841,1,0.9148440748949891,-0.6792603541891733,-0.8101708491925448,0.27757647759675524,-0.4673230195461161,-0.28085655969672746,-0.41384866585751595,2.6176042198643916,-0.39808283730297966,-0.3980828373029799,-0.2339366755325129,-0.27095704736911347,-0.0975900072948534,-0.239492397538633,0.4083946649052788
AmerisourceBergen Corporation C,ABC,-0.3115329909354828,-0.6253695921071639,0.07901464999448829,-0.2352489449521923,-0.10177695257552333,-0.2592854398919341,0.41958367739617775,-0.4074726925110258,-0.3607686150720738,0.43559345327515686,0.019814131878714305,-0.4195399943024285,-0.20760400645528498,-1,0.0916710948515854,-0.5390816025797976,-0.580223088532982,-1.172398856816934,-0.4673230195461161,-0.28085655969672746,-0.41384866585751595,2.6176042198643916,-0.39808283730297966,-0.3980828373029799,-0.2339366755325129,-0.27095704736911347,-0.0975900072948534,-0.239492397538633,2.7429741359496913
Abbott Laboratories Common Stoc,ABT,0.6101737184533709,-0.47845824886626825,-0.7456544857715209,0.2729505036916615,0.37276246067007857,0.1160498614583249,-0.7758269367124635,1.0043751852761573,0.36791659680447625,0.2661012944434432,0.02001123653855934,0.4217421625385106,0.03920166945233637,1,-0.22390883347999171,-0.2714069387923708,-0.28596043696097445,0.051606295610206236,-0.4673230195461161,-0.28085655969672746,-0.41384866585751595,2.6176042198643916,-0.39808283730297966,-0.3980828373029799,-0.2339366755325129,-0.27095704736911347,-0.0975900072948534,-0.239492397538633,-0.976164327958652
Accenture plc Class A Ordinary,ACN,-0.22307981143271705,-0.5170268592636394,-0.4737534578835766,-0.25744796351709764,0.09100468405550227,0.2883349178158208,0.42196023925325254,-0.40756184697252396,0.33997145061865325,0.20169937448175632,0.031640411469416325,-0.25439942277439237,-0.5042344038582472,1,0.14921445990244875,-0.10452747259073324,-0.05425062449559124,-0.3928017289633401,-0.4673230195461161,-0.28085655969672746,-0.41384866585751595,-0.38202872398020854,-0.39808283730297966,2.5120399733257006,-0.2339366755325129,-0.27095704736911347,-0.0975900072948534,-0.239492397538633,0.11870232178297921
Adobe Systems Incorporated,ADBE,-0.2407844480124036,-0.4297215502732265,-1.0013965896075911,-0.2874343933400958,-1.4141750173328909,-0.2869741096636745,-0.3813176684380411,0.24299467314662054,0.23725751329211914,0.18438791123310377,0.02986646953081102,0.5468958661179343,-0.09630439840298179,1,0.10681408565444418,0.7812687340075591,0.6558562532500316,2.7632484794487935,-0.4673230195461161,-0.28085655969672746,-0.41384866585751595,-0.38202872398020854,-0.39808283730297966,2.5120399733257006,-0.2339366755325129,-0.27095704736911347,-0.0975900072948534,-0.239492397538633,-0.7205534369683879
"Analog Devices, Inc.",ADI,-0.11796271249918044,-0.3655574075212363,-0.1918980848447234,-0.15563356854570473,0.2837863206865282,-0.3808079350012393,-0.30764425086872127,-0.010193940528142565,-0.2749459661191684,0.8029386434139055,0.026712794973290484,-0.06900576228537061,0.9909568715822153,1,-0.13910808498398256,-0.1419084730199002,-0.18376143222339117,1.2680791086377947,-0.4673230195461161,-0.28085655969672746,-0.41384866585751595,-0.38202872398020854,-0.39808283730297966,2.5120399733257006,-0.2339366755325129,-0.27095704736911347,-0.0975900072948534,-0.239492397538633,-0.5544063578247161
